Publication;ID;Species;PN Type;Branching Type;Glomerulus Innervation;Additional Innervation;Hemisphere;Driver;Trace Identifier
Duerr2025;025;Dsec;adPN;up;VM3;VC4_VC1_DM6;L;VT033006;JP_82_6_LH_PN1_up_d
Duerr2025;026;Dsec;adPN;u;VC3l;;L;VT033006;JP_83_5_LH_PN1_u_d
Duerr2025;027;Dsec;adPN;up;DM6;VM7v;L;VT033006;JP_84_3_LH_PN1_up_d
Duerr2025;028;Dsec;adPN;u;DM1;DM4;R;VT033006;JP_84_4_RH_PN1_u_d
Duerr2025;029;Dsec;adPN;up;VC3l;(VM3);L;VT033006;JP_84_4_LH_PN1_up_d
Duerr2025;030;Dsec;adPN;up;VC3l;(VM3);L;VT033006;JP_85_4_LH_PN1_up_d
Duerr2025;031;Dsec;adPN;u;VC3l;;L;VT033006;JP_85_7_LH_PN1_u_d
Duerr2025;032;Dsec;adPN;u;DC1;;L;VT033006;JP_85_9_LH_PN1_u_d
Duerr2025;033;Dsec;adPN;up;DL2v;DC3;R;VT033006;JP_87_1_RH_PN1_up_d
Duerr2025;034;Dsec;adPN;up;VC3l;VM5d;L;VT033006;JP_87_2_LH_PN1_up_d
Duerr2025;035;Dsec;lPN;m;ml3;;R;VT033006;BD_M035_RH_PN1_m_l
Duerr2025;036;Dsec;adPN;m;md2;;R;VT033006;BD_M035_RH_PN2_m_d
Duerr2025;037;Dsec;lPN;m;ml1;;L;VT033006;BD_M035_LH_PN1_m_l
Duerr2025;038;Dsec;adPN;up;DC1;D_DL4_VA1d_DA4l;L;VT033006;BD_M035_LH_PN2_up_d
Duerr2025;039;Dsec;adPN;up;VC3l;VA2_VM3_VM7d_VM5d_VC1_VC4;R;VT033006;BD_M048_RH_PN1_up_d
Duerr2025;040;Dsec;adPN;up;VM7d;;R;VT033006;BD_M053_RH_PN1_up_d
Duerr2025;041;Dsec;adPN;m;md1;;L;VT033006;BD_M053_LH_PN3_m_d
Duerr2025;042;Dsec;lPN;m;ml2;;R;VT033006;BD_M055_RH_PN1_m_l
Duerr2025;043;Dsec;adPN;up;VC3l;VM7v;L;VT033006;BD_M055_LH_PN1_up_d
Duerr2025;044;Dsec;adPN;u;VA7m;;L;VT033006;BD_M055_LH_PN2_u_d
Duerr2025;045;Dsec;adPN;up;VC3l;VM3_VM2;R;VT033006;BD_M057_RH_PN1_up_d
Duerr2025;046;Dsec;lPN;m;ml3;;R;VT033006;BD_M058_RH_PN1_m_l
Duerr2025;047;Dsec;adPN;up;VC3l;VC3m_VA2_VM5d;L;VT033006;BD_M058_LH_PN1_up_d
Duerr2025;048;Dsec;adPN;m;md2;;R;VT033006;BD_M081_RH_PN1_m_d
Duerr2025;049;Dsec;adPN;up;VM7v;VC4_VC1_VM5d;L;VT033006;BD_M081_LH_PN2_up_d
Duerr2025;050;Dsec;adPN;m;md1;;R;VT033006;BD_M082_RH_PN1_m_d
Duerr2025;051;Dsec;adPN;m;md2;;L;VT033006;BD_M083_LH_PN1_m_d
Duerr2025;052;Dsec;adPN;up;VC3l;VM5d_DM6;L;VT033006;BD_M083_LH_PN2_up_d
Duerr2025;053;Dsec;adPN;m;md2;;R;VT033006;BD_M085_RH_PN1_m_d
Duerr2025;054;Dsec;lPN;m;ml3;;R;VT033006;BD_M090_RH_PN1_m_l
Duerr2025;055;Dsec;adPN;m;md1;;R;VT033006;BD_M091_RH_PN1_m_d
Duerr2025;056;Dsec;adPN;up;VC3l;VA2_VM5d;R;VT033006;BD_M093_RH_PN1_up_d
Duerr2025;057;Dsec;adPN;up;VM7d;DM6;L;VT033006;BD_M093_LH_PN2_up_d
Duerr2025;058;Dsec;adPN;m;md2;;L;VT033006;BD_M093_LH_PN3_m_d
Duerr2025;059;Dsec;adPN;up;VM7v;VM2;L;VT033006;BD_M094_LH_PN1_up_d
Duerr2025;060;Dsec;adPN;up;DL2v;DC3;R;VT033006;BD_M095_RH_PN1_up_d
Duerr2025;061;Dsec;adPN;m;md2;;R;VT033006;BD_M096_RH_PN1_m_d
Duerr2025;062;Dsec;adPN;up;DM6;DM2_VM7v;L;VT033006;BD_M096_LH_PN1_up_d
Duerr2025;063;Dsec;adPN;up;DL2v;DC3;R;VT033006;BD_M099_RH_PN1_up_d
Duerr2025;064;Dsec;adPN;up;DM6;;L;VT033006;BD_M100_LH_PN1_up_d
Duerr2025;065;Dsec;lPN;m;ml2;;R;VT033006;BD_M105_RH_PN1_m_l
Duerr2025;066;Dsec;adPN;up;VM7d;;L;VT033006;BD_M106_LH_PN1_up_d
Duerr2025;067;Dsec;adPN;u;VA2;;L;VT033006;BD_M107_LH_PN1_u_d
Duerr2025;068;Dsec;adPN;up;DL2v;DC3;L;VT033006;BD_M107_LH_PN2_up_d
Duerr2025;069;Dsec;adPN;up;VL2a;DL4_D;L;VT033006;BD_M108_LH_PN1_up_d
Duerr2025;070;Dsec;adPN;u;VC3l;;L;VT033006;BD_M108_LH_PN2_u_d
Duerr2025;071;Dsec;adPN;m;md1;;L;VT033006;BD_M110_LH_PN1_m_d
Duerr2025;072;Dsec;adPN;u;DC1;;R;VT033006;BD_M111_RH_PN1_u_d
Duerr2025;073;Dsec;adPN;up;VM7v;DM6_VM2;R;VT033006;BD_M111_RH_PN2_up_d
Duerr2025;074;Dsec;adPN;m;md1;;L;VT033006;BD_M112_LH_PN1_m_d
Duerr2025;075;Dsec;adPN;up;DA4m;DA4l_DC1;R;VT033006;BD_M113_RH_PN1_up_d
Duerr2025;076;Dsec;lPN;m;ml1;;R;VT033006;BD_M114_RH_PN1_m_l
Duerr2025;077;Dsec;lPN;m;ml3;;R;VT033006;BD_M115_RH_PN1_m_l
Duerr2025;078;Dsec;adPN;up;DL2v;DC3;L;VT033006;BD_M115_LH_PN1_up_d
Duerr2025;079;Dsec;adPN;m;md1;;R;VT033006;BD_M116_RH_PN1_m_d
Duerr2025;080;Dsec;lPN;m;ml3;;L;VT033006;BD_M117_LH_PN1_m_l
Duerr2025;081;Dsec;adPN;up;DM6;VA2_VM7d_VM5d;L;VT033006;BD_M119_LH_PN1_up_d
Duerr2025;082;Dsec;adPN;up;VC3l;VM3_VM5d;L;VT033006;BD_M119_LH_PN2_up_d
Duerr2025;083;Dsec;adPN;up;VC3l;VM3_VM2;R;VT033006;BD_M119_RH_PN1_up_d
Duerr2025;084;Dsec;adPN;up;VC3l;VM5d;R;VT033006;BD_M120_RH_PN1_up_d
Duerr2025;085;Dsec;adPN;u;VL2a;;L;VT033006;BD_M120_LH_PN1_u_d
Duerr2025;086;Dsec;adPN;up;VM5d;VM7d_VM3;R;VT033006;BD_M123_RH_PN1_up_d
Duerr2025;087;Dsec;adPN;up;DC1;DL4_D;L;VT033006;BD_M123_LH_PN1_u_d
Duerr2025;088;Dsec;adPN;up;DL2v;DL2d;R;VT033008;BD_M124_RH_PN1_up_d
Duerr2025;089;Dsec;adPN;u;VC3l;;L;VT033008;BD_M124_LH_PN1_u_d
Duerr2025;090;Dsec;adPN;u;DL2v;DC3;L;VT033008;BD_M124_LH_PN2_u_d
Duerr2025;091;Dsec;adPN;m;md1;;L;VT033008;BD_M126_LH_PN1_m_d
Duerr2025;092;Dsec;adPN;up;DM6;DM2_VM5d;R;VT033006;BD_M127_RH_PN1_up_d
Duerr2025;093;Dsec;lPN;m;ml3;;R;VT033006;BD_M127_RH_PN2_m_l
Duerr2025;094;Dsec;adPN;u;VL2a;;L;VT033006;BD_M127_LH_PN1_u_d
Duerr2025;095;Dsec;lPN;m;ml2;;R;VT033006;BD_M128_RH_PN1_m_l
Duerr2025;096;Dsec;adPN;u;DC1;;R;VT033006;BD_M128_RH_PN2_u_d
Duerr2025;097;Dsec;adPN;u;VM5d;;R;VT033006;BD_M129_RH_PN1_u_d
Duerr2025;098;Dsec;lPN;m;ml3;;R;VT033006;BD_M129_RH_PN2_m_l
Duerr2025;099;Dsec;adPN;up;VA2;VM2_VM3;R;VT033006;BD_M129_RH_PN3_up_d
Duerr2025;100;Dsec;lPN;m;ml2;;L;VT033006;BD_M129_LH_PN1_m_l
Duerr2025;101;Dsec;adPN;up;VC3l;VM7d_DC4_VC3m;R;VT033006;BD_M130_RH_PN1_up_d
Duerr2025;102;Dsec;lPN;m;ml1;;L;VT033006;BD_M130_LH_PN1_m_l
Duerr2025;103;Dsec;adPN;m;md2;;L;VT033006;BD_M130_LH_PN2_m_d
Duerr2025;104;Dsec;adPN;up;DM6;VM2_VM3_VM7v;L;VT033006;BD_M131_LH_PN1_up_d
Duerr2025;105;Dsec;lPN;m;ml2;;L;VT033006;BD_M131_LH_PN2_m_l
Duerr2025;106;Dsec;lPN;m;ml2;;R;VT033006;BD_M133_RH_PN1_m_l
Duerr2025;107;Dsec;adPN;u;VL2a;;R;VT033006;BD_M142_RH_PN1_u_d
Duerr2025;108;Dsec;adPN;m;md1;;L;VT033006;BD_M142_LH_PN1_m_d
Duerr2025;109;Dsec;lPN;u;DM2;;L;VT033006;BD_M144_LH_PN1_u_l
Duerr2025;110;Dsec;lPN;u;DA1;;L;VT033006;BD_M144_LH_PN2_u_l
Duerr2025;111;Dsec;adPN;up;DM6;VM2_DM2;R;VT033006;BD_M147_RH_PN1_up_d
Duerr2025;112;Dsec;adPN;m;md1;;L;VT033006;BD_M147_LH_PN1_m_d
Duerr2025;113;Dsec;adPN;up;VM5d;DM6;R;VT033006;BD_M149_RH_PN1_up_d
Duerr2025;114;Dsec;adPN;up;VM5d;VM7v_VC3l_VM3_VM2_DM6;L;VT033006;BD_M150_LH_PN1_up_d
Duerr2025;115;Dsec;lPN;u;DM2;;L;VT033006;BD_M151_LH_PN1_u_l
Duerr2025;116;Dsec;adPN;m;md1;;R;VT033006;BD_M152_RH_PN1_m_d
Duerr2025;117;Dsec;adPN;up;DL1;;R;VT033006;BD_M152_RH_PN2_up_d
Duerr2025;118;Dsec;adPN;up;VM7v;VM2_VM3;L;VT033006;BD_M153_LH_PN1_up_d
Duerr2025;119;Dsec;adPN;u;VA2;;L;VT033006;BD_M153_LH_PN2_u_d
Duerr2025;120;Dsec;adPN;up;VM2;VC4_VA2_VM7v;R;VT033006;BD_M154_RH_PN1_up_d
Duerr2025;121;Dsec;adPN;u;DC1;;L;VT033006;BD_M155_LH_PN1_u_d
Duerr2025;122;Dsec;lPN;m;ml3;;L;VT033006;BD_M155_LH_PN2_m_l
Duerr2025;123;Dsec;adPN;u;DC1;;R;VT033006;BD_M157_RH_PN1_u_d
Duerr2025;124;Dsec;adPN;m;md1;;R;VT033006;BD_M158_RH_PN1_m_d
Duerr2025;125;Dsec;lPN;m;ml4;;R;GMR_86C10;BD_M167_RH_PN1_m_l
Duerr2025;126;Dsec;lPN;u;DM2;;L;VT033006;BD_M171_LH_PN1_u_l
Duerr2025;127;Dsec;lPN;u;DA1;;R;VT033006;BD_M179_RH_PN1_u_l
Duerr2025;128;Dsec;lPN;u;DA1;;R;VT033006;BD_M181_RH_PN1_u_l
Duerr2025;129;Dsec;lPN;u;DA1;;L;VT033006;BD_M181_LH_PN1_u_l
Duerr2025;130;Dsec;lPN;u;DA1;;L;VT033006;BD_M183_LH_PN1_u_l
Duerr2025;131;Dsec;lPN;u;DA1;;R;VT033006;BD_M183_RH_PN1_u_l
Duerr2025;132;Dsec;lPN;u;DA1;;L;VT033006;BD_M184_LH_PN1_u_l
Duerr2025;133;Dsec;adPN;u;VM5d;;R;GMR_86C10;BD_M185_RH_PN1_u_d
